Ref Des,Qty,Value / Description,Package / Footprint,Mfr Part #,DigiKey Search Term,DigiKey Category,Suggested Spec,Notes
C1; C2; C8; C17,45,100nF / 0.1µF,0603 SMD,GRM188R71H104KA93D,100nF 0603 50V X7R,Capacitors,50V X7R Â±10%,Decoupling caps
C5; C7,25,4.7µF,1210 SMD,GRM32ER61A475KA87L,4.7uF 1210 10V X5R,Capacitors,10V+ X5R/X7R Â±10%,Bulk bypass
C3; C10,25,68nF,1206 SMD,C3216X7R1H683K160AB,68nF 1206 50V X7R,Capacitors,50V X7R Â±10%,Filter cap
D1; D2; D5; D47,40,SBR1U200P1,SMB (DO-214AA),SBR1U200P1-7,SBR1U200P1 Diodes Inc,Diodes,200V 1A Schottky,Gate clamp / freewheel
Q1; Q2; Q3; Q22,40,GSGN0648 N-ch MOSFET,PPAK 3x3 (SO-8EP),GSGN0648,GSGN0648,MOSFETs,See datasheet,Verify DigiKey stock â€” alt: 60V N-ch MOSFET in PPAK 3x3
R3; R17,25,39½,1206 SMD,RC1206FR-0739RL,39 ohm 1206 1% 1/4W,Resistors,1% 1/4W Â±100ppm/Â°C,Gate resistor
R31; R84,2,27.4k½,1206 SMD,RC1206FR-0727K4L,27.4k 1206 1%,Resistors,1% 1/4W,Voltage divider
R32,1,390k½,1206 SMD,RC1206FR-07390KL,390k 1206 1%,Resistors,1% 1/4W,Bias/divider
R83,1,357k½,1206 SMD,RC1206FR-07357KL,357k 1206 1%,Resistors,1% 1/4W,Bias/divider
R1; R12,20,10k½,1210 SMD,RC1210FR-0710KL,10k 1210 1%,Resistors,1% 1/2W,Pull-up/divider
R4; R18,20,22k½,0603 SMD,RC0603FR-0720KL,22k 0603 1%,Resistors,1% 1/10W,Voltage divider
R2; R16,20,13k½,THT Axial 7.62mm pitch,CFR-25JB-52-13K,13k axial THT 1/4W,Resistors,5% or 1% 1/4W,Only THT parts â€” verify 7.62mm hole pitch
U3; U4,15,ACS711xEXLT-31AB,QFN-12 3x3mm,ACS711EEXLT-31AB-T,ACS711EEXLT-31AB,Current Sensors,Â±31A 3.3V supply FAULT pin,Hall-effect current sensor
U2; U8,15,IRS10752LTRPBF,SOT-23-6,IRS10752LTRPBF,IRS10752LTRPBF,Gate Drivers,Low-side MOSFET driver,Infineon gate driver
U10,1,MCP6006-OTVAO / MCP6001-OT,SOT-23-5,MCP6001T-I/OT,MCP6001 SOT-23-5,Op-Amps,1MHz GBW 1.8â€“5.5V,MCP6006-OTVAO suffix non-standard; MCP6001T-I/OT is standard alt
