Designator,Footprint,Quantity,Value,LCSC Part #
C10,1206,1,68n,
"C2, C8",0603,2,100n,
C7,1210,1,4.7u,
"D1, D47",D_SMB_Handsoldering,2,SBR1U200P1,
D3,0603,1,LED,
"J2, J22",IDC_PinHeader_1x03_P1.00mm_Vertical,2,Conn_01x03,
"Q22, Q3",Goodarksemiconductor_PPAK_3x3,2,GSGN0648,
R12,1210,1,10k,
R16,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,13k,
R17,1206,1,39,
R18,1210,1,20k,
"R31, R84",1206,2,27k4,
R32,1206,1,390k,
R83,1206,1,357k,
U10,SOT-23-5,1,MCP6006-OTVAO,
U3,Allegro_QFN-12-10-1EP_3x3mm_P0.5mm,1,ACS711xEXLT-31AB,
U8,SOT-23-6,1,IRS10752LTRPBF,
