Designator,Mid X,Mid Y,Rotation,Layer
C10,171.97,-70.32,180.0,top
C2,177.19,-89.75,270.0,top
C7,167.48,-88.46,270.0,top
C8,154.07,-72.6925,90.0,top
D1,163.65,-74.0125,270.0,top
D3,176.17,-69.53,270.0,top
D47,176.7225,-83.94,0.0,top
H39,157.56,-83.83,0.0,top
H40,182.7575,-77.23,0.0,top
J2,150.56,-73.84,0.0,top
J22,183.42,-86.58,180.0,top
Q22,172.17,-79.78,0.0,top
Q3,172.17,-76.38,0.0,top
R12,158.17,-71.83,180.0,top
R16,167.52,-73.87,270.0,top
R17,170.59,-86.72,270.0,top
R18,176.07,-74.2925,90.0,top
R31,164.17,-94.6,180.0,top
R32,159.61,-90.7,270.0,top
R83,162.12,-90.73,270.0,top
R84,164.18,-97.13,180.0,top
U10,157.98,-95.2425,0.0,top
U3,158.25,-76.25,90.0,top
U8,174.1,-88.4025,0.0,top
