Designator,Mid X,Mid Y,Rotation,Layer
C1,152.14,-39.409,90.0,top
C17,174.04,-56.809,270.0,top
C3,169.28,-37.908,180.0,top
C5,164.44,-56.009,270.0,top
D2,161.43,-41.608,270.0,top
D4,173.8,-37.3,270.0,top
D5,173.7,-51.5,0.0,top
H1,151.14,-58.5,0.0,top
H3,180.64,-36.259,0.0,top
J4,181.47,-54.149,180.0,top
J6,149.02,-43.459,0.0,top
Q1,169.54,-47.274,0.0,top
Q2,169.54,-43.659,0.0,top
R1,155.8,-38.5,180.0,top
R2,165.24,-41.559,270.0,top
R3,167.54,-53.909,270.0,top
R4,173.75,-41.75,90.0,top
U2,171.04,-55.7215,0.0,top
U4,155.9,-43.3,90.0,top
V_{IN},154.29,-51.459,0.0,top
V_{OUT},181.04,-44.559,0.0,top
