Designator,Mid X,Mid Y,Rotation,Layer
C10,100.7125,-29.1275,180.0,top
C14,236.4625,-131.8875,90.0,top
C15,253.6025,-130.3865,180.0,top
C16,248.7625,-148.4875,270.0,top
C17_2,41.4625,-65.8875,90.0,top
C17,41.4625,-32.8875,90.0,top
C18_2,58.6025,-31.3865,180.0,top
C18,58.6025,-64.3865,180.0,top
C19_2,53.7625,-82.4875,270.0,top
C19,53.7625,-49.4875,270.0,top
C2,105.9325,-48.5575,270.0,top
C20,258.3625,-149.2875,270.0,top
C21_2,63.3625,-83.2875,270.0,top
C21,63.3625,-50.2875,270.0,top
C22,80.4625,-65.8875,90.0,top
C23,97.6025,-64.3865,180.0,top
C24,92.7625,-82.4875,270.0,top
C25,102.3625,-83.2875,270.0,top
C26_3,197.4625,-65.8875,90.0,top
C26_2,158.4625,-65.8875,90.0,top
C26,119.4625,-65.8875,90.0,top
C27_3,214.6025,-64.3865,180.0,top
C27_2,175.6025,-64.3865,180.0,top
C27,136.6025,-64.3865,180.0,top
C28_3,170.7625,-82.4875,270.0,top
C28_2,131.7625,-82.4875,270.0,top
C28,209.7625,-82.4875,270.0,top
C29_3,219.3625,-83.2875,270.0,top
C29_2,141.3625,-83.2875,270.0,top
C29,180.3625,-83.2875,270.0,top
C38,236.4625,-65.8875,90.0,top
C39,253.6025,-64.3865,180.0,top
C40,248.7625,-82.4875,270.0,top
C41,258.3625,-83.2875,270.0,top
C42,41.4625,-98.8875,90.0,top
C43,58.6025,-97.3865,180.0,top
C44,53.7625,-115.4875,270.0,top
C45,63.3625,-116.2875,270.0,top
C46,80.4625,-98.8875,90.0,top
C47,97.6025,-97.3865,180.0,top
C48,92.7625,-115.4875,270.0,top
C49,102.3625,-116.2875,270.0,top
C50,119.4625,-98.8875,90.0,top
C51,136.6025,-97.3865,180.0,top
C52,131.7625,-115.4875,270.0,top
C53,141.3625,-116.2875,270.0,top
C54,158.4625,-98.8875,90.0,top
C55,175.6025,-97.3865,180.0,top
C56,170.7625,-115.4875,270.0,top
C57,180.3625,-116.2875,270.0,top
C58,197.4625,-98.8875,90.0,top
C59,214.6025,-97.3865,180.0,top
C60,209.7625,-115.4875,270.0,top
C61,219.3625,-116.2875,270.0,top
C62,236.4625,-98.8875,90.0,top
C63,253.6025,-97.3865,180.0,top
C64,248.7625,-115.4875,270.0,top
C65,258.3625,-116.2875,270.0,top
C66,41.4625,-131.8875,90.0,top
C67,58.6025,-130.3865,180.0,top
C68,53.7625,-148.4875,270.0,top
C69,63.3625,-149.2875,270.0,top
C7,96.2225,-47.2675,270.0,top
C70,80.4625,-131.8875,90.0,top
C71,97.6025,-130.3865,180.0,top
C72,92.7625,-148.4875,270.0,top
C73,102.3625,-149.2875,270.0,top
C74,119.4625,-131.8875,90.0,top
C75,136.6025,-130.3865,180.0,top
C76,131.7625,-148.4875,270.0,top
C77,141.3625,-149.2875,270.0,top
C78,158.4625,-131.8875,90.0,top
C79,175.6025,-130.3865,180.0,top
C8,82.7925,-32.035,90.0,top
C80,170.7625,-148.4875,270.0,top
C81,180.3625,-149.2875,270.0,top
C82,197.4625,-131.8875,90.0,top
C83,214.6025,-130.3865,180.0,top
C84,209.7625,-148.4875,270.0,top
C85,219.3625,-149.2875,270.0,top
D1,92.3925,-32.82,270.0,top
D12,245.7525,-134.0865,270.0,top
D13,257.6125,-129.7375,270.0,top
D14,258.0225,-143.9785,0.0,top
D15_2,50.7525,-35.0865,270.0,top
D15,50.7525,-68.0865,270.0,top
D16_2,62.6125,-63.7375,270.0,top
D16,62.6125,-30.7375,270.0,top
D17_2,63.0225,-77.9785,0.0,top
D17,63.0225,-44.9785,0.0,top
D18,89.7525,-68.0865,270.0,top
D19,101.6125,-63.7375,270.0,top
D20,102.0225,-77.9785,0.0,top
D21_3,206.7525,-68.0865,270.0,top
D21_2,128.7525,-68.0865,270.0,top
D21,167.7525,-68.0865,270.0,top
D22_3,179.6125,-63.7375,270.0,top
D22_2,218.6125,-63.7375,270.0,top
D22,140.6125,-63.7375,270.0,top
D23_3,180.0225,-77.9785,0.0,top
D23_2,219.0225,-77.9785,0.0,top
D23,141.0225,-77.9785,0.0,top
D3,104.9125,-28.3375,270.0,top
D30,245.7525,-68.0865,270.0,top
D31,257.6125,-63.7375,270.0,top
D32,258.0225,-77.9785,0.0,top
D33,50.7525,-101.0865,270.0,top
D34,62.6125,-96.7375,270.0,top
D35,63.0225,-110.9785,0.0,top
D36,89.7525,-101.0865,270.0,top
D37,101.6125,-96.7375,270.0,top
D38,102.0225,-110.9785,0.0,top
D39,128.7525,-101.0865,270.0,top
D40,140.6125,-96.7375,270.0,top
D41,141.0225,-110.9785,0.0,top
D42,167.7525,-101.0865,270.0,top
D43,179.6125,-96.7375,270.0,top
D44,180.0225,-110.9785,0.0,top
D45,206.7525,-101.0865,270.0,top
D46,218.6125,-96.7375,270.0,top
D47,105.465,-42.7475,0.0,top
D48,219.0225,-110.9785,0.0,top
D49,245.7525,-101.0865,270.0,top
D50,257.6125,-96.7375,270.0,top
D51,258.0225,-110.9785,0.0,top
D52,50.7525,-134.0865,270.0,top
D53,62.6125,-129.7375,270.0,top
D54,63.0225,-143.9785,0.0,top
D55,89.7525,-134.0865,270.0,top
D56,101.6125,-129.7375,270.0,top
D57,102.0225,-143.9785,0.0,top
D58,128.7525,-134.0865,270.0,top
D59,140.6125,-129.7375,270.0,top
D60,141.0225,-143.9785,0.0,top
D61,167.7525,-134.0865,270.0,top
D62,179.6125,-129.7375,270.0,top
D63,180.0225,-143.9785,0.0,top
D64,206.7525,-134.0865,270.0,top
D65,218.6125,-129.7375,270.0,top
D66,219.0225,-143.9785,0.0,top
H14,238.6125,-143.9375,0.0,top
