Ref Des,Qty,Value / Description,Package / Footprint,Mfr Part #,DigiKey Search Term,DigiKey Category,Suggested Spec,Notes,
Capacitors,,,,,,,,,
C14; C33,2,220nF,0603 SMD,GRM188R71H224KA93D,220nF 0603 50V X7R,Capacitors,50V X7R ±10%,,
C3; C6,2,4.7µF,0805 SMD,GRM32ER61A475KA87L,4.7uF 0805 10V X5R,Capacitors,10V+ X5R ±20%,,
C11; C26,2,22µF,0805 SMD,GRM21BR60J226ME39L,22uF 0805 6.3V X5R,Capacitors,6.3V+ X5R ±20%,,
C10; C25,2,10µF,1206 SMD,GRM31CR61A106KA01L,10uF 1206 10V X5R,Capacitors,10V+ X5R ±20%,LDO output caps,
C2,1,15µF,1206 SMD,GRM31CR61A156KE15L,15uF 1206 10V X5R,Capacitors,10V+ X5R ±20%,Buck output cap,
C16; C20; C31; C34,4,47µF,1206 SMD,GRM31CR60J476ME19L,47uF 1206 6.3V X5R,Capacitors,6.3V+ X5R ±20%,eFuse / bulk bypass,
C28,1,15µF,1210 SMD,GRM32ER61A156KE20L,15uF 1210 10V X5R,Capacitors,10V+ X5R ±20%,Buck output cap,
C29,1,200µF,THT Radial D8.0mm P3.5mm,ECA-1HHG221,200uF 50V radial THT,Capacitors,50V electrolytic,Bulk input cap,
Diodes,,,,,,,,,
D1; D47,2,SBR1U200P1,PowerDI-123,SBR1U200P1-7,SBR1U200P1,Diodes,200V 1A Schottky,Rectifier/clamp,
D2,1,CUHZ24V,SOD-923 (TUMD2),,,Zener Diodes,,Zener value not set in schematic — confirm voltage,
Resistors — 0402,,,,,,,,,
R4,1,750kΩ,0402 SMD,RC0402FR-07750KL,750k 0402 1%,Resistors,1% 1/16W,Buck feedback divider,
R5,1,243kΩ,0402 SMD,RC0402FR-07243KL,243k 0402 1%,Resistors,1% 1/16W,Buck feedback divider,
R6; R30,2,22.1kΩ,0402 SMD,RC0402FR-0722K1L,22.1k 0402 1%,Resistors,1% 1/16W,Buck feedback divider,
R7,1,1.37MΩ,0402 SMD,RC0402FR-071M37L,1.37M 0402 1%,Resistors,1% 1/16W,Buck feedback divider,
R8,1,191kΩ,0402 SMD,RC0402FR-07191KL,191k 0402 1%,Resistors,1% 1/16W,Buck feedback divider,
R20,1,294kΩ,0402 SMD,RC0402FR-07294KL,294k 0402 1%,Resistors,1% 1/16W,Buck feedback divider,
R29,1,88.7kΩ,0402 SMD,RC0402FR-0788K7L,88.7k 0402 1%,Resistors,1% 1/16W,Buck feedback divider,
Resistors — 0603,,,,,,,,,
R9,1,41kΩ,0603 SMD,RC0603FR-0741KL,41k 0603 1%,Resistors,1% 1/10W,,
R11; R15,2,51.1kΩ,0603 SMD,RC0603FR-0751K1L,51.1k 0603 1%,Resistors,1% 1/10W,,
R13,1,925kΩ,0603 SMD,RC0603FR-07925KL,925k 0603 1%,Resistors,1% 1/10W,,
R14,1,25kΩ,0603 SMD,RC0603FR-0725KL,25k 0603 1%,Resistors,1% 1/10W,,
R17; R19; R23; R28,4,22kΩ,0603 SMD,RC0603FR-0722KL,22k 0603 1%,Resistors,1% 1/10W,,
R26,1,20kΩ,0603 SMD,RC0603FR-0720KL,20k 0603 1%,Resistors,1% 1/10W,,
FB2,1,300Ω (ferrite bead),0603 SMD,BLM18PG300SN1D,300R ferrite bead 0603,Ferrite Beads,300Ω @ 100MHz,,
Resistors — 1206,,,,,,,,,
R3; R10; R21; R22; R33,5,4.7kΩ,1206 SMD,RC1206FR-074K7L,4.7k 1206 1%,Resistors,1% 1/4W,,
Resistors — 1210,,,,,,,,,
