Designator,Mid X,Mid Y,Rotation,Layer
C1,93.44,-56.67,180.0,top
C10,149.19,-60.74,270.0,top
C11,160.57,-58.58,270.0,top
C12,85.72,-58.38,90.0,top
C13,87.42,-74.96,90.0,top
C14,93.76,-66.08,90.0,top
C15,119.846377,-92.586377,135.0,top
C16,100.81,-60.6175,270.0,top
C17,133.883223,-84.841852,225.0,top
C18,111.55,-78.35,45.0,top
C19,128.21,-92.25,45.0,top
C2,127.98,-67.41,270.0,top
C20,98.18,-60.61,270.0,top
C21,135.76,-56.1,90.0,top
C22,129.00988,-73.39988,135.0,top
C23,130.39988,-71.94988,135.0,top
C24,131.50988,-76.22988,315.0,top
C25,149.18,-69.01,270.0,top
C26,160.67,-66.89,270.0,top
C27,142.7,-61.15,270.0,top
C28,143.65,-67.5,270.0,top
C29,116.47,-60.637349,270.0,top
C3,135.52,-61.42,270.0,top
C30,90.3525,-65.0,90.0,top
C33,95.5,-66.0875,90.0,top
C36,167.17,-72.78,180.0,top
C38,103.26,-60.617349,270.0,top
C4,120.68,-56.1875,90.0,top
C42,127.54,-61.15,270.0,top
C43,109.84,-60.647349,270.0,top
C5,132.723223,-87.581852,135.0,top
C6,120.4,-61.39,270.0,top
C7,127.0,-91.0,225.0,top
C8,115.65,-74.8,45.0,top
C9,125.88,-70.92,315.0,top
D1,108.98,-87.2,315.0,top
D10,89.86,-83.94,180.0,top
D2,101.79,-55.73,90.0,top
D3,118.0375,-68.02,0.0,top
D5,112.81,-90.95,315.0,top
D6,106.56,-53.38,180.0,top
D7,133.4,-67.65,0.0,top
D8,162.9,-61.7,180.0,top
FB2,132.74988,-74.98988,315.0,top
J1,101.4,-100.526667,90.0,top
J10,143.74,-100.58,90.0,bottom
J11,149.72,-100.586667,90.0,top
J12,155.82,-100.593333,90.0,bottom
J13,86.99,-95.7,90.0,bottom
J14,95.35,-95.7,90.0,top
J15,101.4,-95.68,90.0,bottom
J16,107.45,-95.66,90.0,top
J17,131.6,-95.8,90.0,top
J18,137.6375,-95.8,90.0,bottom
J19,143.675,-95.8,90.0,top
J2,78.0,-79.12,270.0,top
J20,149.7125,-95.8,90.0,bottom
J21,85.85,-100.46,90.0,top
J22,163.01,-100.54,90.0,top
J23,94.21,-100.473333,90.0,bottom
J26,100.6078975334943,-84.50789707958947,225.0,top
J28,155.75,-95.8,90.0,top
J3,79.14,-66.58,270.0,top
J4,107.5,-100.54,90.0,bottom
J5,113.48,-100.546667,90.0,top
J6,119.58,-100.553333,90.0,bottom
J7,125.56,-100.56,90.0,top
J8,131.66,-100.573333,90.0,bottom
J9,137.64,-100.566667,90.0,top
JP1,89.88,-75.83,0.0,top
L1,124.07,-64.01,270.0,top
L2,139.23,-63.93,270.0,top
R1,84.95,-74.18,270.0,top
R10,161.5,-72.44,0.0,top
R11,94.67,-63.45,0.0,top
R12,115.14,-89.69,225.0,top
R13,89.14,-53.57,0.0,top
R14,85.45,-53.58,0.0,top
R15,92.8275,-53.57,0.0,top
R16,87.47,-83.04,90.0,top
R17,103.61,-55.51,90.0,top
R19,135.75,-66.75,90.0,top
R2,84.92,-83.82,90.0,top
R20,140.71,-56.47,0.0,top
R21,141.45,-73.0,0.0,top
R22,146.9,-73.0,180.0,top
R23,160.4,-62.6,270.0,top
R26,111.355235,-85.894765,225.0,top
R28,120.42,-67.05,90.0,top
R29,143.43,-58.9,180.0,top
R3,81.78,-89.86,180.0,top
R30,142.87,-55.5525,90.0,top
R31,161.31,-92.44,0.0,top
R33,169.7,-92.44,180.0,top
R4,138.23,-56.47,0.0,top
R5,128.0,-58.85,180.0,top
R6,127.4275,-54.88,90.0,top
R7,123.0475,-56.49,0.0,top
R8,125.6575,-56.47,0.0,top
R9,94.67,-61.77,0.0,top
S1,165.59,-82.66,0.0,top
SW2,76.785,-89.64,270.0,top
SW4,152.51,-87.35,0.0,top
U1,88.865,-60.09,0.0,top
U13,122.74,-81.48,45.0,top
U2,130.913223,-89.251852,135.0,top
U3,84.95,-79.11,180.0,top
U4,139.18,-59.02,0.0,top
U5,144.75,-76.35,180.0,top
U6,124.08,-59.02,0.0,top
U7,155.0,-56.85,180.0,top
U8,155.0,-65.175,180.0,top
