Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BAT_3034TR,1,3034TR,
"C1, C12, C15, C16, C18, C22, C39, C46, C9",0805,9,10u,
"C10, C2, C47",0805,3,22u,
"C11, C13, C19, C20, C21, C23, C24, C25, C26, C27, C28, C33, C34, C35, C36, C37, C38, C41, C43, C44, C45, C49, C50, C53, C6",0805,25,100n,
"C14, C17, C3, C31, C32, C4, C40, C48, C8",CP_Elec_6.3x5.9,9,100u,
"C29, C30, C42, C5",0805,4,1u,
"C51, C52",0603,2,47p,
C7,0805,1,2n2,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D20, D3, D4, D5, D6, D8, D9",0603,18,LED,
D2,0603,1,BLUE,
D7,D_SOD-123,1,0.5A/40V/420mV,
FB2,0603,1,120R,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad,4,~,
J1,DB7W2-Male,1,~,
"J2, J3, J6",GRADCONN_RFPC-SMA29-F,3,RFPC-SMA29-F,
J4,PinHeader_1x02_P2.54mm_Vertical,1,UART,
J5,GRADCONN_RFPC-SMA28-F,1,RFPC-SMA28-F,
J7,IDC-STM32-Prog-Header_2x05_P2.54mm_Vertical,1,STM32-Prog-Header,
J8,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_14P,
J9,CUI_MSD-10-C,1,MSD-10-C,
"JP1, JP2",J_0603_Triangular,2,Jumper_2_Open,
JP4,Jumper_Micro-Miniature_P5.375mm,1,Jumper_2_Open,
"R1, R2",0603,2,5k1,
"R10, R12, R14, R15, R17, R18, R31, R34",0603,8,600,
"R11, R13",0603,2,2k2,
R16,0603,1,3k3,
"R19, R26",0603,2,10k,
"R20, R22, R23, R24, R25, R30, R32, R33, R37",0603,9,1k,
"R21, R3",0603,2,2k,
"R27, R28, R29",0603,3,0R,
"R35, R36",0603,2,27R,
R4,0603,1,150,
R5,0603,1,120,
R6,0603,1,287K,
R7,0603,1,57K,
R8,0603,1,47k,
R9,0603,1,1k1,
RF1,ublox_MAX,1,MAX-M10S,
RF2,Vollgo VG2392S240X0M2,1,VG2392S240X0M2,
RF3,HOPERF_RFM9XW_SMD,1,DL-RFM69HC-915M,
RF4,HOPERF_RFM9XW_SMD,1,RFM95W-868S2,
"SW1, SW2, SW3, SW4, SW5, SW6, SW8",SW_PUSH_6mm,7,SW_SPST,
SW7,SW_SPDT_PCM12,1,SW_DPDT_x2,
"TP1, TP2, TP3, TP4, TP5, TP6",TestPoint_Pad_2.0x2.0mm,6,TestPoint,
"U1, U2",TO-252-2,2,AZ1084-3.3,
U3,TI_SO-PowerPAD-8,1,TPS2596,
U4,TO-252-2,1,AZ1084-5.0,
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2542FD,
U6,LQFP-64_10x10mm_P0.5mm,1,STM32G484RET6,
U7,SOT-23-6,1,USBLC6-2SC6,
U8,DFN-12-1EP_3x3mm,1,FT234XD-R,FT234XD-R
X1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,OXETDLJANF-8MHZ,
