Designator,Mid X,Mid Y,Rotation,Layer
BT1,163.5,-96.5,270.0,bottom
C1,82.636,-83.186,180.0,top
C10,101.9,-85.3,0.0,top
C11,107.3,-68.05,90.0,top
C12,143.5,-40.9,0.0,top
C13,106.5,-115.7,90.0,bottom
C14,80.1,-53.7,90.0,top
C15,112.25,-40.1,0.0,top
C16,80.05,-40.4,0.0,top
C17,109.052,-53.7,90.0,top
C18,171.6,-62.0,180.0,top
C19,80.1,-42.8,0.0,top
C2,86.7,-69.6,0.0,top
C20,171.6,-64.2,180.0,top
C21,112.25,-42.2,0.0,top
C22,133.9,-63.8,270.0,top
C23,131.7,-63.8,270.0,top
C24,113.878,-63.628,90.0,top
C25,114.64,-74.296,180.0,top
C26,129.88,-75.312,270.0,top
C27,116.418,-62.104,90.0,top
C28,124.9,-80.138,270.0,top
C29,127.0,-80.138,270.0,top
C3,95.59,-82.932,0.0,top
C30,130.642,-80.138,90.0,top
C31,165.8,-58.9,0.0,top
C32,144.3,-53.7,90.0,top
C33,143.513915,-43.002618,0.0,top
C34,171.6,-68.6,180.0,top
C35,171.6,-66.4,180.0,top
C36,116.0,-86.3,180.0,top
C37,124.2,-86.3,180.0,top
C38,104.5,-32.0,0.0,top
C39,145.0,-107.2,0.0,top
C4,82.8,-65.0,0.0,top
C40,159.975,-113.575,0.0,bottom
C41,145.0,-104.7,0.0,top
C42,171.6,-70.8,0.0,top
C43,154.01,-81.662,270.0,top
C44,172.1,-40.9125,270.0,top
C45,136.0,-32.4,0.0,top
C46,132.674,-97.918,180.0,top
C47,148.34,-94.27,90.0,top
C48,142.58,-90.14,0.0,bottom
C49,130.134,-104.522,270.0,top
C5,119.4,-114.0,90.0,bottom
C50,137.754,-107.062,270.0,top
C51,137.754,-106.808,0.0,bottom
C52,130.388,-106.808,180.0,bottom
C53,136.23,-91.822,90.0,top
C6,81.6325,-94.03,0.0,top
C7,77.8,-87.53,90.0,top
C8,90.764,-96.648,90.0,top
C9,96.606,-94.616,0.0,top
D1,107.2,-91.314,90.0,top
D10,125.816,-111.2375,270.0,top
D11,92.6625,-55.5,0.0,top
D12,92.6625,-57.8,0.0,top
D13,92.6625,-60.1,0.0,top
D14,92.6625,-62.4,0.0,top
D15,92.6625,-64.7,0.0,top
D16,92.6625,-67.0,0.0,top
D17,149.28,-99.87,180.0,top
D18,92.6625,-69.3,0.0,top
D19,92.6625,-71.6,0.0,top
D2,76.4825,-97.918,90.0,top
D20,138.516,-103.7855,270.0,top
D3,76.5,-78.6875,90.0,top
D4,136.0,-27.3,180.0,top
D5,140.294,-108.525,270.0,top
D6,104.5,-26.8,180.0,top
D7,158.1,-88.1,180.0,top
D8,166.4,-80.7,90.0,top
D9,172.1,-44.575,270.0,top
FB2,128.864,-80.138,270.0,top
J1,103.077,-107.119,0.0,top
J2,87.0,-25.5,180.0,top
J3,115.0,-25.5,90.0,top
J4,172.17,-76.29,0.0,top
J5,155.5,-58.8,180.0,top
J6,143.0,-25.5,0.0,top
J7,140.294,-78.92,0.0,top
J8,134.143369,-115.6375,0.0,top
J9,155.65,-109.5,270.0,top
JP1,127.443369,-107.7375,90.0,top
JP2,123.1,-78.36,90.0,top
JP4,125.8375,-50.9,0.0,top
R1,127.443369,-114.8375,270.0,top
R10,76.5,-74.7875,270.0,top
R11,151.2,-72.3,90.0,top
R12,136.0,-29.8,180.0,top
R13,153.4,-74.9,90.0,top
R14,141.843369,-108.525,90.0,top
R15,104.5,-29.4,180.0,top
R16,162.5,-88.1,0.0,top
R17,166.4,-76.8,270.0,top
R18,169.9,-44.6,270.0,top
R19,115.0,-110.3,180.0,bottom
R2,140.843369,-114.8375,270.0,top
R20,95.844,-55.5,0.0,top
R21,127.443369,-111.2375,270.0,top
R22,95.844,-57.8,0.0,top
R23,95.844,-60.1,0.0,top
R24,95.844,-62.4,0.0,top
R25,95.844,-64.7,0.0,top
R26,155.788,-81.662,90.0,top
R3,107.2,-88.266,270.0,top
R30,95.844,-67.0,0.0,top
R31,149.2875,-97.835,180.0,top
R32,95.844,-69.3,0.0,top
R33,95.844,-71.6,0.0,top
R34,140.143,-103.746,270.0,top
R35,137.754,-108.332,180.0,bottom
R36,130.388,-108.332,0.0,bottom
R37,129.372,-84.964,180.0,top
R4,76.4825,-94.87,270.0,top
R5,109.1,-114.2,270.0,bottom
R6,77.8,-91.43,270.0,top
R7,81.1825,-86.13,0.0,top
R8,85.7825,-86.13,0.0,top
R9,88.478,-86.996,90.0,top
RF1,161.4,-69.2,180.0,top
RF2,156.0,-35.5,0.0,top
RF3,92.0,-40.5,180.0,top
RF4,124.5,-40.5,180.0,top
SW1,115.9,-92.2,90.0,top
SW2,123.494,-92.2,90.0,top
SW3,97.18,-25.61,0.0,top
SW4,149.1,-81.5,90.0,top
SW5,169.84,-34.04,90.0,top
SW6,128.58,-25.65,0.0,top
SW7,109.27,-81.65,270.0,top
SW8,131.368,-92.128,90.0,top
U1,82.8,-75.7,90.0,top
U2,142.55,-97.325,0.0,top
U3,83.48,-90.235,0.0,top
U4,100.515,-90.025,0.0,top
U5,114.0,-114.2,270.0,bottom
U6,123.5,-69.0,270.0,top
U7,134.198,-108.586,270.0,top
U8,134.172,-103.905,0.0,top
X1,110.6,-68.05,0.0,top
