Application,Motor Type,Rated Voltage ,Bus Voltage,Bus Voltage Clamp,Bus Capacitor,Regulated Bus,Line Frequency (Hz),Rated Speed (RPM),Rotor Poles,Rs (Ohms),Rr (Ohms),Rd,Rq,Lm (Henries),Lls (Henries),Llr (Henries),Lsd (Henries),Lsq (Henries),Lr (Henries),L Series (Henries),Id ref Current,Back-EMF Const. (V-s/el-rad),Motor Inertia (Kg-meter^2),Load Inertia (Kg-meter^2),Damping Factor,K,Auto Field Weakening,Current Regulator Decoupling Enable,Field Weakening Current Slew,Measurement Error (%),Parameter Estimation Error (%),Kp,Ki,Maximum current,Maximum Speed (RPM),Encoder Resolution (Quad counts/rev.),Ka,Kb_d,Kb_q,Speed filter pole (rad/sec),Input Speed vs. Time Profile,Input Speed Scale,Load Torque vs. Angle Profile,Load Angle Divisor,Load Torque vs. Speed Profile,Load Speed Multiplier,Load Torque vs. Time Profile,Angle-Speed Torque Scale,Time Torque Scale
Baldor 3 HP ACIM / Compressor,0,460,650.5382387,845.6997103,0.0005,0,60,1769,4,1.77,1.34,1.77,3.11,0.36870895,0.013926,0.012122,0.38263495,0.38263495,0.38083095,0.025662152,2.603732999,0,0.001,0.01,8,253.4895966,1,1,0.03,0.2,1,0.123279221,0.481559457,15,3000,2000,12.83107597,68.97317124,121.1901483,250,1,2500,1,1,1,2500,0,35,1
Baldor 3 HP ACIM / Pump,0,460,650.5382387,845.6997103,0.0005,0,60,1769,4,1.77,1.34,1.77,3.11,0.36870895,0.013926,0.012122,0.38263495,0.38263495,0.38083095,0.025662152,2.603732999,0,0.001,0.01,6,253.4895966,1,1,0.03,0.2,1,0.164372295,1.141474269,15,3000,2000,12.83107597,68.97317124,121.1901483,250,1,2500,0,1,2,2500,0,15,1
Baldor 3 HP ACIM / Blower,0,460,650.5382387,845.6997103,0.0005,0,60,1769,4,1.77,1.34,1.77,3.11,0.36870895,0.013926,0.012122,0.38263495,0.38263495,0.38083095,0.025662152,2.603732999,0,0.001,0.02,8,132.7802649,1,1,0.03,0.2,1,0.23535124,0.919340782,15,3000,2000,12.83107597,68.97317124,121.1901483,250,1,2500,2,1,3,2500,0,15,1
Baldor 3 HP ACIM / Conveyor Belt,0,460,650.5382387,845.6997103,0.0005,0,60,1769,4,1.77,1.34,1.77,3.11,0.36870895,0.013926,0.012122,0.38263495,0.38263495,0.38083095,0.025662152,2.603732999,0,0.001,0.02,3,132.7802649,1,1,0.02,0.2,1,0.627603307,17.43342519,15,3000,2000,12.83107597,68.97317124,121.1901483,250,5,100,0,1,0,1,1,0,12
Baldor 3 HP ACIM / Punch Press,0,460,650.5382387,845.6997103,0.0005,0,60,1769,4,1.77,1.34,1.77,3.11,0.36870895,0.013926,0.012122,0.38263495,0.38263495,0.38083095,0.025662152,2.603732999,0,0.001,0.08,4,34.42451312,1,1,0.02,0.2,1,1.089340026,10.21256274,15,3000,2000,7.698645581,68.97317124,121.1901483,150,5,200,0,1,0,1,2,0,50
Lincoln Electric 10 HP ACIM / Compressor,0,460,650.5382387,845.6997103,2.00E-03,0,60,1778,4,0.3896,0.2896,0.3896,0.6792,0.07352322,0.003191587,0.00399585,0.076714807,0.076714807,0.07751907,0.006981464,12.98679205,0,0.005,0.1,8,25.87464062,1,1,0.02,0.2,1,1.207746243,4.717758762,80,3000,2000,3.490732117,55.8049124,97.28618198,250,1,2500,1,1,1,2500,0,180,1
Lincoln Electric 10 HP ACIM / Pump,0,460,650.5382387,845.6997103,2.00E-03,0,60,1778,4,0.3896,0.2896,0.3896,0.6792,0.07352322,0.003191587,0.00399585,0.076714807,0.076714807,0.07751907,0.006981464,12.98679205,0,0.005,0.1,6,25.87464062,1,1,0.03,0.2,1,1.610328324,11.18283558,80,3000,2000,3.490732117,55.8049124,97.28618198,250,1,2500,0,1,2,2500,0,70,1
Lincoln Electric 10 HP ACIM / Blower,0,460,650.5382387,845.6997103,2.00E-03,0,60,1778,4,0.3896,0.2896,0.3896,0.6792,0.07352322,0.003191587,0.00399585,0.076714807,0.076714807,0.07751907,0.006981464,12.98679205,0,0.005,0.1,8,25.87464062,1,1,0.02,0.2,1,1.207746243,4.717758762,80,3000,2000,3.490732117,55.8049124,97.28618198,250,1,2500,2,1,3,2500,0,70,1
Lincoln Electric 10 HP ACIM / Conveyor Belt,0,460,650.5382387,845.6997103,2.00E-03,0,60,1778,4,0.3896,0.2896,0.3896,0.6792,0.07352322,0.003191587,0.00399585,0.076714807,0.076714807,0.07751907,0.006981464,12.98679205,0,0.005,0.1,3,25.87464062,1,1,0.02,0.2,1,3.220656648,89.46268467,80,3000,2000,3.490732117,55.8049124,97.28618198,250,5,100,0,1,0,1,1,0,60
Lincoln Electric 10 HP ACIM / Punch Press,0,460,650.5382387,845.6997103,2.00E-03,0,60,1778,4,0.3896,0.2896,0.3896,0.6792,0.07352322,0.003191587,0.00399585,0.076714807,0.076714807,0.07751907,0.006981464,12.98679205,0,0.005,0.3,4,8.907663165,1,1,0.02,0.2,1,4.209858333,39.46742187,80,3000,2000,2.09443927,55.8049124,97.28618198,150,5,800,0,1,0,1,2,0,150
